rater,team,individual,survey,metric,value,team_number,individual_id
-1700002,17,2,1,Wellbeing,63.0,17,2
-1700002,17,2,1,Team Access,48.0,17,2
-1700002,17,2,1,Productivity,31.0,17,2
-1700002,17,2,1,Balance,36.0,17,2
-1700002,17,2,1,Personal Style,35.0,17,2
-1700002,17,2,1,Preferred Culture,48.0,17,2
-1700002,17,2,1,Capacity,42.0,17,2
-1700002,17,2,1,Capability,46.0,17,2
-1700002,17,2,1,Collaboration,34.0,17,2
-1700002,17,2,1,Psych. Safety,68.0,17,2
-1700002,17,2,1,Cognitive Load,34.0,17,2
-1700002,17,2,1,AI Anxiety,40.0,17,2
-1700002,17,2,1,AI Knowledge,30.0,17,2
-1700002,17,2,1,AI Business Use,33.0,17,2
-1700002,17,2,1,AI Training,52.0,17,2
-1700002,17,2,1,AI Experimentation,34.0,17,2
-1700002,17,2,1,AI Career Importance,72.0,17,2
-1700000,17,0,1,Wellbeing,40.0,17,0
-1700000,17,0,1,Team Access,54.0,17,0
-1700000,17,0,1,Productivity,67.0,17,0
-1700000,17,0,1,Balance,49.0,17,0
-1700000,17,0,1,Personal Style,64.0,17,0
-1700000,17,0,1,Preferred Culture,57.0,17,0
-1700000,17,0,1,Capacity,80.0,17,0
-1700000,17,0,1,Capability,87.0,17,0
-1700000,17,0,1,Collaboration,72.0,17,0
-1700000,17,0,1,Psych. Safety,77.0,17,0
-1700000,17,0,1,Cognitive Load,35.0,17,0
-1700000,17,0,1,AI Anxiety,16.0,17,0
-1700000,17,0,1,AI Knowledge,84.0,17,0
-1700000,17,0,1,AI Business Use,90.0,17,0
-1700000,17,0,1,AI Training,88.0,17,0
-1700000,17,0,1,AI Experimentation,94.0,17,0
-1700000,17,0,1,AI Career Importance,92.0,17,0
-2300004,23,4,1,Wellbeing,44.0,23,4
-2300004,23,4,1,Team Access,48.0,23,4
-2300004,23,4,1,Productivity,52.0,23,4
-2300004,23,4,1,Balance,56.0,23,4
-2300004,23,4,1,Personal Style,48.0,23,4
-2300004,23,4,1,Preferred Culture,48.0,23,4
-2300004,23,4,1,Capacity,42.0,23,4
