Rater,Wellbeing,Team Access,Productivity,Balance,Unnamed: 5,Personal Style,Preferred Working Culture,Unnamed: 8,Unnamed: 9,Unnamed: 10,<b>Capacity</b> of the team,<b>Capability</b> of the team,<b>Collaboration</b> within the team,Ability to challenge decisions and actions <b>safely</b>,My level of <b>cognitive</b> load&nbsp;,Unnamed: 16,Level of <b>anxiety</b> towards AI,Level of <b>knowledge</b> of AI,<b>Business usage</b> of AI,Level of <b>training</b> and support received wrt AI,Opportunity to <b>experiment </b>and innovate with AI,<b>Importance</b> to you in your career,Unnamed: 23,Unnamed: 24,team,person
-1700002,63,48,31,36,,35,48,68.0,67,,42,46,34,68.0,34,,40,30,33,52,34.0,72,,Male,17,2
-1700000,40,54,67,49,,64,57,76.0,50,,80,87,72,77.0,35,,16,84,90,88,94.0,92,,Male,17,0
-2300004,44,48,52,56,,48,48,52.0,52,,42,46,50,54.0,58,,40,44,48,52,56.0,60,,Male,23,4
-2300003,86,75,80,50,,75,78,87.0,87,,81,74,78,90.0,85,,67,77,77,81,90.0,83,,Male,23,3
-400002,61,65,34,49,,40,17,56.0,42,,42,46,61,50.0,73,,73,67,76,64,30.0,52,,Male,4,2
-1700001,61,60,36,45,,38,26,60.0,65,,68,80,79,81.0,62,,19,45,55,40,68.0,70,,Female,17,1
-400001,75,66,33,40,,80,75,75.0,25,,71,45,48,66.0,61,,74,70,95,77,82.0,86,,Female,4,1
-400005,70,81,52,60,,17,38,69.0,75,,69,78,64,73.0,58,,71,16,25,10,41.0,49,,Female,4,5
-1700004,85,82,80,45,,60,90,70.0,70,,95,100,95,75.0,58,,10,99,100,80,100.0,100,,Male,17,4
-400004,62,50,53,56,,36,31,43.0,70,,42,46,50,54.0,58,,40,29,22,15,19.0,20,,Female,4,4
-400006,44,48,52,56,,69,77,63.0,51,,26,19,42,54.0,60,,27,32,40,66,66.0,73,,Female,4,6
-2600004,16,26,66,77,,25,22,75.0,73,,31,26,62,69.0,76,,21,27,48,68,68.0,73,,Female,26,4
-2600001,34,47,51,58,,58,46,64.0,73,,65,67,68,68.0,67,,26,42,46,19,30.0,75,,Female,26,1
-2600000,39,63,49,53,,61,64,62.0,63,,47,46,46,48.0,47,,50,50,23,19,34.0,55,,Male,26,0
-2600003,100,90,70,40,,60,80,85.0,75,,80,70,85,90.0,75,,25,50,30,45,50.0,60,,Male,26,3
-400007,20,75,30,26,,14,85,70.0,20,,80,82,65,40.0,50,,35,41,75,75,50.0,78,,Female,4,7
-1800001,0,3,6,9,,43,81,50.0,78,,29,32,66,68.0,53,,0,74,77,81,100.0,92,,Female,18,1
