Rater,Wellbeing,Team Access,Productivity,Balance,Personal Style,Preferred Working Culture,Capacity of the team,Capability of the team,Collaboration within the team,Ability to challenge decisions and actions safely,My level of cognitive load,Level of anxiety towards AI,Level of knowledge of AI,Business usage of AI,Level of training and support received wrt AI,Opportunity to experiment and innovate with AI,Importance to you in your career,Sex,Team,Individual
-1700002,63,48,31,36,35,48,42,46,34,68.0,34,40,30,33,52,34.0,72,Male,17,2
-1700000,40,54,67,49,64,57,80,87,72,77.0,35,16,84,90,88,94.0,92,Male,17,0
-2300004,44,48,52,56,48,48,42,46,50,54.0,58,40,44,48,52,56.0,60,Male,23,4
-2300003,86,75,80,50,75,78,81,74,78,90.0,85,67,77,77,81,90.0,83,Male,23,3
-400002,61,65,34,49,40,17,42,46,61,50.0,73,73,67,76,64,30.0,52,Male,04,2
-1700001,61,60,36,45,38,26,68,80,79,81.0,62,19,45,55,40,68.0,70,Female,17,1
-400001,75,66,33,40,80,75,71,45,48,66.0,61,74,70,95,77,82.0,86,Female,04,1
-400005,70,81,52,60,17,38,69,78,64,73.0,58,71,16,25,10,41.0,49,Female,04,5
-1700004,85,82,80,45,60,90,95,100,95,75.0,58,10,99,100,80,100.0,100,Male,17,4
-400004,62,50,53,56,36,31,42,46,50,54.0,58,40,29,22,15,19.0,20,Female,04,4
-400006,44,48,52,56,69,77,26,19,42,54.0,60,27,32,40,66,66.0,73,Female,04,6
-2600004,16,26,66,77,25,22,31,26,62,69.0,76,21,27,48,68,68.0,73,Female,26,4
-2600001,34,47,51,58,58,46,65,67,68,68.0,67,26,42,46,19,30.0,75,Female,26,1
-2600000,39,63,49,53,61,64,47,46,46,48.0,47,50,50,23,19,34.0,55,Male,26,0
-2600003,100,90,70,40,60,80,80,70,85,90.0,75,25,50,30,45,50.0,60,Male,26,3
-400007,20,75,30,26,14,85,80,82,65,40.0,50,35,41,75,75,50.0,78,Female,04,7
-1800001,0,3,6,9,43,81,29,32,66,68.0,53,0,74,77,81,100.0,92,Female,18,1
